title,abstract,field,
How Effective is Incongruity? Implications for Code-mix Sarcasm Detection,"The presence of sarcasm in conversational systems and social media like
chatbots, Facebook, Twitter, etc. poses several challenges for downstream NLP
tasks. This is attributed to the fact that the intended meaning of a sarcastic
text is contrary to what is expressed. Further, the use of code-mix language to
express sarcasm is increasing day by day. Current NLP techniques for code-mix
data have limited success due to the use of different lexicon, syntax, and
scarcity of labeled corpora. To solve the joint problem of code-mixing and
sarcasm detection, we propose the idea of capturing incongruity through
sub-word level embeddings learned via fastText. Empirical results shows that
our proposed model achieves F1-score on code-mix Hinglish dataset comparable to
pretrained multilingual models while training 10x faster and using a lower
memory footprint",Sarcasm Detection,
EVOTER: Evolution of Transparent Explainable Rule-sets,"Most AI systems are black boxes generating reasonable outputs for given
inputs. Some domains, however, have explainability and trustworthiness
requirements that cannot be directly met by these approaches. Various methods
have therefore been developed to interpret black-box models after training.
This paper advocates an alternative approach where the models are transparent
and explainable to begin with. This approach, EVOTER, evolves rule-sets based
on simple logical expressions. The approach is evaluated in several
prediction/classification and prescription/policy search domains with and
without a surrogate. It is shown to discover meaningful rule sets that perform
similarly to black-box models. The rules can provide insight into the domain,
and make biases hidden in the data explicit. It may also be possible to edit
them directly to remove biases and add constraints. EVOTER thus forms a
promising foundation for building trustworthy AI systems for real-world
applications in the future.",Transparent and Explainable Models,
Lightweight Monocular Depth Estimation,"Monocular depth estimation can play an important role in addressing the issue
of deriving scene geometry from 2D images. It has been used in a variety of
industries, including robots, self-driving cars, scene comprehension, 3D
reconstructions, and others. The goal of our method is to create a lightweight
machine-learning model in order to predict the depth value of each pixel given
only a single RGB image as input with the Unet structure of the image
segmentation network. We use the NYU Depth V2 dataset to test the structure and
compare the result with other methods. The proposed method achieves relatively
high accuracy and low rootmean-square error.",monocular depth estimation,
Look\&Listen: Multi-Modal Correlation Learning for Active Speaker Detection and Speech Enhancement,"Active speaker detection and speech enhancement have become two increasingly
attractive topics in audio-visual scenario understanding. According to their
respective characteristics, the scheme of independently designed architecture
has been widely used in correspondence to each single task. This may lead to
the representation learned by the model being task-specific, and inevitably
result in the lack of generalization ability of the feature based on
multi-modal modeling. More recent studies have shown that establishing
cross-modal relationship between auditory and visual stream is a promising
solution for the challenge of audio-visual multi-task learning. Therefore, as a
motivation to bridge the multi-modal associations in audio-visual tasks, a
unified framework is proposed to achieve target speaker detection and speech
enhancement with joint learning of audio-visual modeling in this study.",audio-visual multi-task learning,
Pred&Guide: Labeled Target Class Prediction for Guiding Semi-Supervised Domain Adaptation,"Semi-supervised domain adaptation aims to classify data belonging to a target
domain by utilizing a related label-rich source domain and very few labeled
examples of the target domain. Here, we propose a novel framework, Pred&Guide,
which leverages the inconsistency between the predicted and the actual class
labels of the few labeled target examples to effectively guide the domain
adaptation in a semi-supervised setting. Pred&Guide consists of three stages,
as follows (1) First, in order to treat all the target samples equally, we
perform unsupervised domain adaptation coupled with self-training; (2) Second
is the label prediction stage, where the current model is used to predict the
labels of the few labeled target examples, and (3) Finally, the correctness of
the label predictions are used to effectively weigh source examples class-wise
to better guide the domain adaptation process. Extensive experiments show that
the proposed Pred&Guide framework achieves state-of-the-art results for two
large-scale benchmark datasets, namely Office-Home and DomainNet.",semi-supervised domain adaptation,
Selecting Seed Words for Wordle using Character Statistics,"Wordle, a word guessing game rose to global popularity in the January of
2022. The goal of the game is to guess a five-letter English word within six
tries. Each try provides the player with hints by means of colour changing
tiles which inform whether or not a given character is part of the solution as
well as, in cases where it is part of the solution, whether or not it is in the
correct placement. Numerous attempts have been made to find the best starting
word and best strategy to solve the daily wordle. This study uses character
statistics of five-letter words to determine the best three starting words.",Word Game Strategy Optimization,
Feasibility on Detecting Door Slamming towards Monitoring Early Signs of Domestic Violence,"By using low-cost microcontrollers and TinyML, we investigate the feasibility
of detecting potential early warning signs of domestic violence and other
anti-social behaviors within the home. We created a machine learning model to
determine if a door was closed aggressively by analyzing audio data and feeding
this into a convolutional neural network to classify the sample. Under test
conditions, with no background noise, accuracy of 88.89\% was achieved,
declining to 87.50\% when assorted background noises were mixed in at a
relative volume of 0.5 times that of the sample. The model is then deployed on
an Arduino Nano BLE 33 Sense attached to the door, and only begins sampling
once an acceleration greater than a predefined threshold acceleration is
detected. The predictions made by the model can then be sent via BLE to another
device, such as a smartphone of Raspberry Pi.",domestic violence detection,
Escaping Data Scarcity for High-Resolution Heterogeneous Face Hallucination,"In Heterogeneous Face Recognition (HFR), the objective is to match faces
across two different domains such as visible and thermal. Large domain
discrepancy makes HFR a difficult problem. Recent methods attempting to fill
the gap via synthesis have achieved promising results, but their performance is
still limited by the scarcity of paired training data. In practice, large-scale
heterogeneous face data are often inaccessible due to the high cost of
acquisition and annotation process as well as privacy regulations. In this
paper, we propose a new face hallucination paradigm for HFR, which not only
enables data-efficient synthesis but also allows to scale up model training
without breaking any privacy policy. Unlike existing methods that learn face
synthesis entirely from scratch, our approach is particularly designed to take
advantage of rich and diverse facial priors from visible domain for more
faithful hallucination. On the other hand, large-scale training is enabled by
introducing a new federated learning scheme to allow institution-wise
collaborations while avoiding explicit data sharing. Extensive experiments
demonstrate the advantages of our approach in tackling HFR under current data
limitations. In a unified framework, our method yields the state-of-the-art
hallucination results on multiple HFR datasets.",heterogeneous face hallucination,
muBoost: An Effective Method for Solving Indic Multilingual Text Classification Problem,"Text Classification is an integral part of many Natural Language Processing
tasks such as sarcasm detection, sentiment analysis and many more such
applications. Many e-commerce websites, social-media/entertainment platforms
use such models to enhance user-experience to generate traffic and thus,
revenue on their platforms. In this paper, we are presenting our solution to
Multilingual Abusive Comment Identification Problem on Moj, an Indian
video-sharing social networking service, powered by ShareChat. The problem
dealt with detecting abusive comments, in 13 regional Indic languages such as
Hindi, Telugu, Kannada etc., on the videos on Moj platform. Our solution
utilizes the novel muBoost, an ensemble of CatBoost classifier models and
Multilingual Representations for Indian Languages (MURIL) model, to produce
SOTA performance on Indic text classification tasks. We were able to achieve a
mean F1-score of 89.286 on the test data, an improvement over baseline MURIL
model with a F1-score of 87.48.",multilingual text classification,
PrivMVMF: Privacy-Preserving Multi-View Matrix Factorization for Recommender Systems,"With an increasing focus on data privacy, there have been pilot studies on
recommender systems in a federated learning (FL) framework, where multiple
parties collaboratively train a model without sharing their data. Most of these
studies assume that the conventional FL framework can fully protect user
privacy. However, there are serious privacy risks in matrix factorization in
federated recommender systems based on our study. This paper first provides a
rigorous theoretical analysis of the server reconstruction attack in four
scenarios in federated recommender systems, followed by comprehensive
experiments. The empirical results demonstrate that the FL server could infer
users' information with accuracy >80% based on the uploaded gradients from FL
nodes. The robustness analysis suggests that our reconstruction attack analysis
outperforms the random guess by >30% under Laplace noises with b no larger than
0.5 for all scenarios. Then, the paper proposes a new privacy-preserving
framework based on homomorphic encryption, Privacy-Preserving Multi-View Matrix
Factorization (PrivMVMF), to enhance user data privacy protection in federated
recommender systems. The proposed PrivMVMF is successfully implemented and
tested thoroughly with the MovieLens dataset.",Privacy-Preserving Recommender Systems,
MulT: An End-to-End Multitask Learning Transformer,"We propose an end-to-end Multitask Learning Transformer framework, named
MulT, to simultaneously learn multiple high-level vision tasks, including depth
estimation, semantic segmentation, reshading, surface normal estimation, 2D
keypoint detection, and edge detection. Based on the Swin transformer model,
our framework encodes the input image into a shared representation and makes
predictions for each vision task using task-specific transformer-based decoder
heads. At the heart of our approach is a shared attention mechanism modeling
the dependencies across the tasks. We evaluate our model on several multitask
benchmarks, showing that our MulT framework outperforms both the state-of-the
art multitask convolutional neural network models and all the respective single
task transformer models. Our experiments further highlight the benefits of
sharing attention across all the tasks, and demonstrate that our MulT model is
robust and generalizes well to new domains. Our project website is at
https://ivrl.github.io/MulT/.",Multitask Learning,
Do You Really Mean That? Content Driven Audio-Visual Deepfake Dataset and Multimodal Method for Temporal Forgery Localization,"Due to its high societal impact, deepfake detection is getting active
attention in the computer vision community. Most deepfake detection methods
rely on identity, facial attributes, and adversarial perturbation-based
spatio-temporal modifications at the whole video or random locations while
keeping the meaning of the content intact. However, a sophisticated deepfake
may contain only a small segment of video/audio manipulation, through which the
meaning of the content can be, for example, completely inverted from a
sentiment perspective. We introduce a content-driven audio-visual deepfake
dataset, termed Localized Audio Visual DeepFake (LAV-DF), explicitly designed
for the task of learning temporal forgery localization. Specifically, the
content-driven audio-visual manipulations are performed strategically to change
the sentiment polarity of the whole video. Our baseline method for benchmarking
the proposed dataset is a 3DCNN model, termed as Boundary Aware Temporal
Forgery Detection (BA-TFD), which is guided via contrastive, boundary matching,
and frame classification loss functions. Our extensive quantitative and
qualitative analysis demonstrates the proposed method's strong performance for
temporal forgery localization and deepfake detection tasks.",Deepfake Detection,
The Winning Solution to the iFLYTEK Challenge 2021 Cultivated Land Extraction from High-Resolution Remote Sensing Image,"Extracting cultivated land accurately from high-resolution remote images is a
basic task for precision agriculture. This report introduces our solution to
the iFLYTEK challenge 2021 cultivated land extraction from high-resolution
remote sensing image. The challenge requires segmenting cultivated land objects
in very high-resolution multispectral remote sensing images. We established a
highly effective and efficient pipeline to solve this problem. We first divided
the original images into small tiles and separately performed instance
segmentation on each tile. We explored several instance segmentation algorithms
that work well on natural images and developed a set of effective methods that
are applicable to remote sensing images. Then we merged the prediction results
of all small tiles into seamless, continuous segmentation results through our
proposed overlap-tile fusion strategy. We achieved the first place among 486
teams in the challenge.",cultivated land extraction,
M$^2$DQN: A Robust Method for Accelerating Deep Q-learning Network,"Deep Q-learning Network (DQN) is a successful way which combines
reinforcement learning with deep neural networks and leads to a widespread
application of reinforcement learning. One challenging problem when applying
DQN or other reinforcement learning algorithms to real world problem is data
collection. Therefore, how to improve data efficiency is one of the most
important problems in the research of reinforcement learning. In this paper, we
propose a framework which uses the Max-Mean loss in Deep Q-Network (M$^2$DQN).
Instead of sampling one batch of experiences in the training step, we sample
several batches from the experience replay and update the parameters such that
the maximum TD-error of these batches is minimized. The proposed method can be
combined with most of existing techniques of DQN algorithm by replacing the
loss function. We verify the effectiveness of this framework with one of the
most widely used techniques, Double DQN (DDQN), in several gym games. The
results show that our method leads to a substantial improvement in both the
learning speed and performance.",Deep Q-learning Network,
Can You Fool AI by Doing a 180? $\unicode{x2013}$ A Case Study on Authorship Analysis of Texts by Arata Osada,"This paper is our attempt at answering a twofold question covering the areas
of ethics and authorship analysis. Firstly, since the methods used for
performing authorship analysis imply that an author can be recognized by the
content he or she creates, we were interested in finding out whether it would
be possible for an author identification system to correctly attribute works to
authors if in the course of years they have undergone a major psychological
transition. Secondly, and from the point of view of the evolution of an
author's ethical values, we checked what it would mean if the authorship
attribution system encounters difficulties in detecting single authorship. We
set out to answer those questions through performing a binary authorship
analysis task using a text classifier based on a pre-trained transformer model
and a baseline method relying on conventional similarity metrics. For the test
set, we chose works of Arata Osada, a Japanese educator and specialist in the
history of education, with half of them being books written before the World
War II and another half in the 1950s, in between which he underwent a
transformation in terms of political opinions. As a result, we were able to
confirm that in the case of texts authored by Arata Osada in a time span of
more than 10 years, while the classification accuracy drops by a large margin
and is substantially lower than for texts by other non-fiction writers,
confidence scores of the predictions remain at a similar level as in the case
of a shorter time span, indicating that the classifier was in many instances
tricked into deciding that texts written over a time span of multiple years
were actually written by two different people, which in turn leads us to
believe that such a change can affect authorship analysis, and that historical
events have great impact on a person's ethical outlook as expressed in their
writings.",Authorship Identification,
Inclusive Artificial Intelligence,"Prevailing methods for assessing and comparing generative AIs incentivize
responses that serve a hypothetical representative individual. Evaluating
models in these terms presumes homogeneous preferences across the population
and engenders selection of agglomerative AIs, which fail to represent the
diverse range of interests across individuals. We propose an alternative
evaluation method that instead prioritizes inclusive AIs, which provably retain
the requisite knowledge not only for subsequent response customization to
particular segments of the population but also for utility-maximizing
decisions.",Generative AI Evaluation,
"Towards technological adaptation of advanced farming through AI, IoT, and Robotics: A Comprehensive overview","The population explosion of the 21st century has adversely affected the
natural resources with restricted availability of cultivable land, increased
average temperatures due to global warming, and carbon footprint resulting in a
drastic increase in floods as well as droughts thus making food security
significant anxiety for most countries. The traditional methods were no longer
sufficient which paved the way for technological ascents such as a substantial
rise in Artificial Intelligence (AI), Internet of Things (IoT), as well as
Robotics that provides high productivity, functional efficiency, flexibility,
cost-effectiveness in the domain of agriculture. AI, IoT, and Robotics-based
devices and methods have produced new paradigms and opportunities in
agriculture. AI's existing approaches are soil management, crop diseases
identification, weed identification, and management in collaboration with IoT
devices. IoT has utilized automatic agricultural operations and real-time
monitoring with few personnel employed in real-time. The major existing
applications of agricultural robotics are for the function of soil preparation,
planting, monitoring, harvesting, and storage. In this paper, researchers have
explored a comprehensive overview of recent implementation, scopes,
opportunities, challenges, limitations, and future research instructions of AI,
IoT, and Robotics based methodology in the agriculture sector.",agriculture Robotics,
Zero Shot Crosslingual Eye-Tracking Data Prediction using Multilingual Transformer Models,"Eye tracking data during reading is a useful source of information to
understand the cognitive processes that take place during language
comprehension processes. Different languages account for different brain
triggers , however there seems to be some uniform indicators. In this paper, we
describe our submission to the CMCL 2022 shared task on predicting human
reading patterns for multi-lingual dataset. Our model uses text representations
from transformers and some hand engineered features with a regression layer on
top to predict statistical measures of mean and standard deviation for 2 main
eye-tracking features. We train an end to end model to extract meaningful
information from different languages and test our model on two seperate
datasets. We compare different transformer models and show ablation studies
affecting model performance. Our final submission ranked 4th place for
SubTask-1 and 1st place for SubTask-2 for the shared task.",Multilingual Reading Pattern Prediction,
Privacy-Preserving Image Classification Using Isotropic Network,"In this paper, we propose a privacy-preserving image classification method
that uses encrypted images and an isotropic network such as the vision
transformer. The proposed method allows us not only to apply images without
visual information to deep neural networks (DNNs) for both training and testing
but also to maintain a high classification accuracy. In addition, compressible
encrypted images, called encryption-then-compression (EtC) images, can be used
for both training and testing without any adaptation network. Previously, to
classify EtC images, an adaptation network was required before a classification
network, so methods with an adaptation network have been only tested on small
images. To the best of our knowledge, previous privacy-preserving image
classification methods have never considered image compressibility and patch
embedding-based isotropic networks. In an experiment, the proposed
privacy-preserving image classification was demonstrated to outperform
state-of-the-art methods even when EtC images were used in terms of
classification accuracy and robustness against various attacks under the use of
two isotropic networks: vision transformer and ConvMixer.",privacy-preserving image classification,
5q032e@SMM4H'22: Transformer-based classification of premise in tweets related to COVID-19,"Automation of social network data assessment is one of the classic challenges
of natural language processing. During the COVID-19 pandemic, mining people's
stances from public messages have become crucial regarding understanding
attitudes towards health orders. In this paper, the authors propose the
predictive model based on transformer architecture to classify the presence of
premise in Twitter texts. This work is completed as part of the Social Media
Mining for Health (SMM4H) Workshop 2022. We explored modern transformer-based
classifiers in order to construct the pipeline efficiently capturing tweets
semantics. Our experiments on a Twitter dataset showed that RoBERTa is superior
to the other transformer models in the case of the premise prediction task. The
model achieved competitive performance with respect to ROC AUC value 0.807, and
0.7648 for the F1 score.",Tweet Stance Classification,
NeAT: Neural Adaptive Tomography,"In this paper, we present Neural Adaptive Tomography (NeAT), the first
adaptive, hierarchical neural rendering pipeline for multi-view inverse
rendering. Through a combination of neural features with an adaptive explicit
representation, we achieve reconstruction times far superior to existing neural
inverse rendering methods. The adaptive explicit representation improves
efficiency by facilitating empty space culling and concentrating samples in
complex regions, while the neural features act as a neural regularizer for the
3D reconstruction. The NeAT framework is designed specifically for the
tomographic setting, which consists only of semi-transparent volumetric scenes
instead of opaque objects. In this setting, NeAT outperforms the quality of
existing optimization-based tomography solvers while being substantially
faster.",Multi-View Inverse Rendering,
A Generalized & Robust Framework For Timestamp Supervision in Temporal Action Segmentation,"In temporal action segmentation, Timestamp supervision requires only a
handful of labelled frames per video sequence. For unlabelled frames, previous
works rely on assigning hard labels, and performance rapidly collapses under
subtle violations of the annotation assumptions. We propose a novel
Expectation-Maximization (EM) based approach that leverages the label
uncertainty of unlabelled frames and is robust enough to accommodate possible
annotation errors. With accurate timestamp annotations, our proposed method
produces SOTA results and even exceeds the fully-supervised setup in several
metrics and datasets. When applied to timestamp annotations with missing action
segments, our method presents stable performance. To further test our
formulation's robustness, we introduce the new challenging annotation setup of
Skip-tag supervision. This setup relaxes constraints and requires annotations
of any fixed number of random frames in a video, making it more flexible than
Timestamp supervision while remaining competitive.",temporal action segmentation,
Depthformer : Multiscale Vision Transformer For Monocular Depth Estimation With Local Global Information Fusion,"Attention-based models such as transformers have shown outstanding
performance on dense prediction tasks, such as semantic segmentation, owing to
their capability of capturing long-range dependency in an image. However, the
benefit of transformers for monocular depth prediction has seldom been explored
so far. This paper benchmarks various transformer-based models for the depth
estimation task on an indoor NYUV2 dataset and an outdoor KITTI dataset. We
propose a novel attention-based architecture, Depthformer for monocular depth
estimation that uses multi-head self-attention to produce the multiscale
feature maps, which are effectively combined by our proposed decoder network.
We also propose a Transbins module that divides the depth range into bins whose
center value is estimated adaptively per image. The final depth estimated is a
linear combination of bin centers for each pixel. Transbins module takes
advantage of the global receptive field using the transformer module in the
encoding stage. Experimental results on NYUV2 and KITTI depth estimation
benchmark demonstrate that our proposed method improves the state-of-the-art by
3.3%, and 3.3% respectively in terms of Root Mean Squared Error (RMSE). Code is
available at https://github.com/ashutosh1807/Depthformer.git.",monocular depth estimation,
COCO-DR: Combating Distribution Shifts in Zero-Shot Dense Retrieval with Contrastive and Distributionally Robust Learning,"We present a new zero-shot dense retrieval (ZeroDR) method, COCO-DR, to
improve the generalization ability of dense retrieval by combating the
distribution shifts between source training tasks and target scenarios. To
mitigate the impact of document differences, COCO-DR continues pretraining the
language model on the target corpora to adapt the model to target distributions
via COtinuous COtrastive learning. To prepare for unseen target queries,
COCO-DR leverages implicit Distributionally Robust Optimization (iDRO) to
reweight samples from different source query clusters for improving model
robustness over rare queries during fine-tuning. COCO-DR achieves superior
average performance on BEIR, the zero-shot retrieval benchmark. At BERT Base
scale, COCO-DR Base outperforms other ZeroDR models with 60x larger size. At
BERT Large scale, COCO-DR Large outperforms the giant GPT-3 embedding model
which has 500x more parameters. Our analysis show the correlation between
COCO-DR's effectiveness in combating distribution shifts and improving
zero-shot accuracy. Our code and model can be found at
\url{https://github.com/OpenMatch/COCO-DR}.",zero-shot dense retrieval,
Hierarchical Decomposition and Analysis for Generalized Planning,"This paper presents new methods for analyzing and evaluating generalized
plans that can solve broad classes of related planning problems. Although
synthesis and learning of generalized plans has been a longstanding goal in AI,
it remains challenging due to fundamental gaps in methods for analyzing the
scope and utility of a given generalized plan. This paper addresses these gaps
by developing a new conceptual framework along with proof techniques and
algorithmic processes for assessing termination and goal-reachability related
properties of generalized plans. We build upon classic results from graph
theory to decompose generalized plans into smaller components that are then
used to derive hierarchical termination arguments. These methods can be used to
determine the utility of a given generalized plan, as well as to guide the
synthesis and learning processes for generalized plans. We present theoretical
as well as empirical results illustrating the scope of this new approach. Our
analysis shows that this approach significantly extends the class of
generalized plans that can be assessed automatically, thereby reducing barriers
in the synthesis and learning of reliable generalized plans.",generalized planning analysis,
Deep learning for spatio-temporal forecasting -- application to solar energy,"This thesis tackles the subject of spatio-temporal forecasting with deep
learning. The motivating application at Electricity de France (EDF) is
short-term solar energy forecasting with fisheye images. We explore two main
research directions for improving deep forecasting methods by injecting
external physical knowledge. The first direction concerns the role of the
training loss function. We show that differentiable shape and temporal criteria
can be leveraged to improve the performances of existing models. We address
both the deterministic context with the proposed DILATE loss function and the
probabilistic context with the STRIPE model. Our second direction is to augment
incomplete physical models with deep data-driven networks for accurate
forecasting. For video prediction, we introduce the PhyDNet model that
disentangles physical dynamics from residual information necessary for
prediction, such as texture or details. We further propose a learning framework
(APHYNITY) that ensures a principled and unique linear decomposition between
physical and data-driven components under mild assumptions, leading to better
forecasting performances and parameter identification.",spatio-temporal forecasting,
ReAct: Synergizing Reasoning and Acting in Language Models,"While large language models (LLMs) have demonstrated impressive capabilities
across tasks in language understanding and interactive decision making, their
abilities for reasoning (e.g. chain-of-thought prompting) and acting (e.g.
action plan generation) have primarily been studied as separate topics. In this
paper, we explore the use of LLMs to generate both reasoning traces and
task-specific actions in an interleaved manner, allowing for greater synergy
between the two: reasoning traces help the model induce, track, and update
action plans as well as handle exceptions, while actions allow it to interface
with external sources, such as knowledge bases or environments, to gather
additional information. We apply our approach, named ReAct, to a diverse set of
language and decision making tasks and demonstrate its effectiveness over
state-of-the-art baselines, as well as improved human interpretability and
trustworthiness over methods without reasoning or acting components.
Concretely, on question answering (HotpotQA) and fact verification (Fever),
ReAct overcomes issues of hallucination and error propagation prevalent in
chain-of-thought reasoning by interacting with a simple Wikipedia API, and
generates human-like task-solving trajectories that are more interpretable than
baselines without reasoning traces. On two interactive decision making
benchmarks (ALFWorld and WebShop), ReAct outperforms imitation and
reinforcement learning methods by an absolute success rate of 34% and 10%
respectively, while being prompted with only one or two in-context examples.
Project site with code: https://react-lm.github.io",language models reasoning,
Cyclical Focal Loss,"The cross-entropy softmax loss is the primary loss function used to train
deep neural networks. On the other hand, the focal loss function has been
demonstrated to provide improved performance when there is an imbalance in the
number of training samples in each class, such as in long-tailed datasets. In
this paper, we introduce a novel cyclical focal loss and demonstrate that it is
a more universal loss function than cross-entropy softmax loss or focal loss.
We describe the intuition behind the cyclical focal loss and our experiments
provide evidence that cyclical focal loss provides superior performance for
balanced, imbalanced, or long-tailed datasets. We provide numerous experimental
results for CIFAR-10/CIFAR-100, ImageNet, balanced and imbalanced 4,000
training sample versions of CIFAR-10/CIFAR-100, and ImageNet-LT and Places-LT
from the Open Long-Tailed Recognition (OLTR) challenge. Implementing the
cyclical focal loss function requires only a few lines of code and does not
increase training time. In the spirit of reproducibility, our code is available
at \url{https://github.com/lnsmith54/CFL}.",loss function ,
DePA: Improving Non-autoregressive Machine Translation with Dependency-Aware Decoder,"Non-autoregressive machine translation (NAT) models have lower translation
quality than autoregressive translation (AT) models because NAT decoders do not
depend on previous target tokens in the decoder input. We propose a novel and
general Dependency-Aware Decoder (DePA) to enhance target dependency modeling
in the decoder of fully NAT models from two perspectives: decoder
self-attention and decoder input. First, we propose an autoregressive
forward-backward pre-training phase before NAT training, which enables the NAT
decoder to gradually learn bidirectional target dependencies for the final NAT
training. Second, we transform the decoder input from the source language
representation space to the target language representation space through a
novel attentive transformation process, which enables the decoder to better
capture target dependencies. DePA can be applied to any fully NAT models.
Extensive experiments show that DePA consistently improves highly competitive
and state-of-the-art fully NAT models on widely used WMT and IWSLT benchmarks
by up to 1.88 BLEU gain, while maintaining the inference latency comparable to
other fully NAT models.",Non-autoregressive machine translation,
Signed Binary Weight Networks,"Efficient inference of Deep Neural Networks (DNNs) is essential to making AI
ubiquitous. Two important algorithmic techniques have shown promise for
enabling efficient inference - sparsity and binarization. These techniques
translate into weight sparsity and weight repetition at the hardware-software
level enabling the deployment of DNNs with critically low power and latency
requirements. We propose a new method called signed-binary networks to improve
efficiency further (by exploiting both weight sparsity and weight repetition
together) while maintaining similar accuracy. Our method achieves comparable
accuracy on ImageNet and CIFAR10 datasets with binary and can lead to 69%
sparsity. We observe real speedup when deploying these models on
general-purpose devices and show that this high percentage of unstructured
sparsity can lead to a further reduction in energy consumption on ASICs.",Efficient Neural Network,
Vers la compr¨¦hension automatique de la parole bout-en-bout ¨¤ moindre effort,"Recent advances in spoken language understanding benefited from
Self-Supervised models trained on large speech corpora. For French, the
LeBenchmark project has made such models available and has led to impressive
progress on several tasks including spoken language understanding. These
advances have a non-negligible cost in terms of computation time and energy
consumption. In this paper, we compare several learning strategies aiming at
reducing such cost while keeping competitive performances. The experiments are
performed on the MEDIA corpus, and show that it is possible to reduce the
learning cost while maintaining state-of-the-art performances.",spoken language understanding,
Unified Bayesian Frameworks for Multi-criteria Decision-making Problems,"This paper introduces Bayesian frameworks for tackling various aspects of
multi-criteria decision-making (MCDM) problems, leveraging a probabilistic
interpretation of MCDM methods and challenges. By harnessing the flexibility of
Bayesian models, the proposed frameworks offer statistically elegant solutions
to key challenges in MCDM, such as group decision-making problems and criteria
correlation. Additionally, these models can accommodate diverse forms of
uncertainty in decision makers' (DMs) preferences, including normal and
triangular distributions, as well as interval preferences. To address
large-scale group MCDM scenarios, a probabilistic mixture model is developed,
enabling the identification of homogeneous subgroups of DMs. Furthermore, a
probabilistic ranking scheme is devised to assess the relative importance of
criteria and alternatives based on DM(s) preferences. Through experimentation
on various numerical examples, the proposed frameworks are validated,
demonstrating their effectiveness and highlighting their distinguishing
features in comparison to alternative methods.",Multi-Criteria Decision Making,
Analysis & Computational Complexity Reduction of Monocular and Stereo Depth Estimation Techniques,"Accurate depth estimation with lowest compute and energy cost is a crucial
requirement for unmanned and battery operated autonomous systems. Robotic
applications require real time depth estimation for navigation and decision
making under rapidly changing 3D surroundings. A high accuracy algorithm may
provide the best depth estimation but may consume tremendous compute and energy
resources. A general trade-off is to choose less accurate methods for initial
depth estimate and a more accurate yet compute intensive method when needed.
Previous work has shown this trade-off can be improved by developing a
state-of-the-art method (AnyNet) to improve stereo depth estimation.
  We studied both the monocular and stereo vision depth estimation methods and
investigated methods to reduce computational complexity of these methods. This
was our baseline. Consequently, our experiments show reduction of monocular
depth estimation model size by ~75% reduces accuracy by less than 2% (SSIM
metric). Our experiments with the novel stereo vision method (AnyNet) show that
accuracy of depth estimation does not degrade more than 3% (three pixel error
metric) in spite of reduction in model size by ~20%. We have shown that smaller
models can indeed perform competitively.",Depth Estimation Optimization,
Thinking Fast and Slow in Large Language Models,"Large language models (LLMs) are currently at the forefront of intertwining
AI systems with human communication and everyday life. Therefore, it is of
great importance to evaluate their emerging abilities. In this study, we show
that LLMs like GPT-3 exhibit behavior that strikingly resembles human-like
intuition - and the cognitive errors that come with it. However, LLMs with
higher cognitive capabilities, in particular ChatGPT and GPT-4, learned to
avoid succumbing to these errors and perform in a hyperrational manner. For our
experiments, we probe LLMs with the Cognitive Reflection Test (CRT) as well as
semantic illusions that were originally designed to investigate intuitive
decision-making in humans. Our study demonstrates that investigating LLMs with
methods from psychology has the potential to reveal otherwise unknown emergent
traits.",Cognitive Ability Evaluation of Language Models,
Mixed Nondeterministic-Probabilistic Automata: Blending graphical probabilistic models with nondeterminism,"Graphical models in probability and statistics are a core concept in the area
of probabilistic reasoning and probabilistic programming-graphical models
include Bayesian networks and factor graphs. In this paper we develop a new
model of mixed (nondeterministic/probabilistic) automata that subsumes both
nondeterministic automata and graphical probabilistic models. Mixed Automata
are equipped with parallel composition, simulation relation, and support
message passing algorithms inherited from graphical probabilistic models.
Segala's Probabilistic Automatacan be mapped to Mixed Automata.",mixed automata,
Many Ways to Be Lonely: Fine-Grained Characterization of Loneliness and Its Potential Changes in COVID-19,"Loneliness has been associated with negative outcomes for physical and mental
health. Understanding how people express and cope with various forms of
loneliness is critical for early screening and targeted interventions to reduce
loneliness, particularly among vulnerable groups such as young adults. To
examine how different forms of loneliness and coping strategies manifest in
loneliness self-disclosure, we built a dataset, FIG-Loneliness (FIne-Grained
Loneliness) by using Reddit posts in two young adult-focused forums and two
loneliness related forums consisting of a diverse age group. We provided
annotations by trained human annotators for binary and fine-grained loneliness
classifications of the posts. Trained on FIG-Loneliness, two BERT-based models
were used to understand loneliness forms and authors' coping strategies in
these forums. Our binary loneliness classification achieved an accuracy above
97%, and fine-grained loneliness category classification reached an average
accuracy of 77% across all labeled categories. With FIG-Loneliness and model
predictions, we found that loneliness expressions in the young adults related
forums were distinct from other forums. Those in young adult-focused forums
were more likely to express concerns pertaining to peer relationship, and were
potentially more sensitive to geographical isolation impacted by the COVID-19
pandemic lockdown. Also, we showed that different forms of loneliness have
differential use in coping strategies.",loneliness classification,
